处理成本,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
来源：企业经营数据样例/07_采后处理成本记录.xlsx。保留原始逐笔记录；日期、数量、金额和比例按字段类型呈现。,,,,,
,,,,,
月份,费用项目,计量单位,参考单价,口径说明,负责部门
2025-08,处理药剂,元/kg果,0.03,按试点采购价和使用量折算,研发中心
2025-08,现场人工,元/kg果,0.049,增加分拣和处理工时,仓储部
2025-08,设备折旧,元/kg果,0.025,处理池/喷淋设备按处理量分摊,运营部
2025-08,残留检测,元/批,848.521,送检费用，实际以检测机构报价为准,质量部
2025-08,品质复检,元/批,237.863,硬度、糖度、外观抽检,质量部
2025-08,记录与追溯,元/批,83.646,扫码、批次记录、表单维护,仓储部
2025-08,废液处理,元/批,294.607,如采用浸泡方式需计入,运营部
2025-08,员工培训,元/月,4960.821,试点期培训和SOP执行,运营部
2025-09,处理药剂,元/kg果,0.031,按试点采购价和使用量折算,研发中心
2025-09,现场人工,元/kg果,0.048,增加分拣和处理工时,仓储部
2025-09,设备折旧,元/kg果,0.022,处理池/喷淋设备按处理量分摊,运营部
2025-09,残留检测,元/批,884.277,送检费用，实际以检测机构报价为准,质量部
2025-09,品质复检,元/批,206.403,硬度、糖度、外观抽检,质量部
2025-09,记录与追溯,元/批,94.161,扫码、批次记录、表单维护,仓储部
2025-09,废液处理,元/批,274.091,如采用浸泡方式需计入,运营部
2025-09,员工培训,元/月,4928.187,试点期培训和SOP执行,运营部
2025-10,处理药剂,元/kg果,0.029,按试点采购价和使用量折算,研发中心
2025-10,现场人工,元/kg果,0.041,增加分拣和处理工时,仓储部
2025-10,设备折旧,元/kg果,0.027,处理池/喷淋设备按处理量分摊,运营部
2025-10,残留检测,元/批,867.488,送检费用，实际以检测机构报价为准,质量部
2025-10,品质复检,元/批,243.368,硬度、糖度、外观抽检,质量部
2025-10,记录与追溯,元/批,98.543,扫码、批次记录、表单维护,仓储部
2025-10,废液处理,元/批,288.296,如采用浸泡方式需计入,运营部
2025-10,员工培训,元/月,5284.588,试点期培训和SOP执行,运营部
