GA₃处理供应链应用情景测算,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
黄色为可调整假设；历史基线来自“经营基线”。测算仅用于筛选验证价值，不代表已实现收益或商业施用许可。,,,,,,
,,,,,,
基线参数,数值,单位,来源/说明,,,
评估期处理量,,kg,采购到货量，作为全量情景规模,,,
评估期批次数,,批,采购批次数,,,
评估期月数,3,月,2025-08至2025-10的计划假设,,,
平均变动成本,,元/kg,三个月处理药剂、现场人工、设备折旧月均合计,,,
平均每批固定成本,,元/批,残留检测、品质复检、追溯和废液处理月均合计,,,
平均月培训成本,,元/月,培训费用月均值,,,
成熟相关损失基线,,元,成熟相关问题记录的估计损失,,,
折价销售量基线,,kg,销售流水折价销售量,,,
退货量基线,,kg,销售流水退货量,,,
加权平均售价,,元/kg（13元/斤=26元/kg）,销售收入/销售量；已按猕猴桃市场价13元/斤折算,销售流水（按13元/斤更新）,,
,,,,,,
情景假设与结果,保守,中性,乐观,,,
成熟相关损失减少率,0.1,0.2,0.3,%,,
折价销售量减少率,0.05,0.1,0.15,%,,
折价价差,1.5,2,2.5,元/kg；需在试点中实测,,
退货减少率,0.05,0.1,0.15,%,,
退货损失率,0.7,0.8,0.9,%；退货量对应损失价值比例,,
可售窗口延长,2,4,6,天；待冷链试验验证,,
,,,,,,
测算结果,保守,中性,乐观,,情景,净价值(元)
减损收益,,,,,保守,
折价回收价值,,,,,中性,
退货回收价值,,,,,乐观,
收益合计,,,,,,
变动处理成本,,,,,,
每批固定成本,,,,,,
培训成本,,,,,,
成本合计,,,,,,
净价值,,,,,,
收益/成本,,,,,,
结论,,,,,,
,,,,,,
试点预算,数值,单位,说明,,,
试点处理量,30000,kg,规划假设，可调整,,,
试点批次数,3,批,规划假设，可调整,,,
试点月数,1,月,规划假设，可调整,,,
预计试点成本,,元,不含设备改造停线和注册申报成本,,,
