经营基线,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
所有指标均由业务原始表或批次对账公式汇总；覆盖范围不同的表分别呈现，不作无依据合并。,,,,
,,,,
指标,数值,单位,口径说明,来源
采购批次数,,批,去重后采购批次,采购批次
采购到货量,,kg,采购台账到货量合计,采购批次
采购金额,,元,采购台账金额合计,采购批次
加权采购单价,,元/kg,采购金额/到货量,采购批次
库存出库量,,kg,库存流水出库量合计,库存流水
库存报损量,,kg,库存流水报损量合计,库存流水
末笔期末库存,,kg,各批次末笔期末库存合计,批次对账
库存平衡差异,,kg,采购到货-出库-报损-末笔库存,批次对账
成熟相关问题量,,kg,问题记录中标记为成熟相关,报损折价
成熟相关损失,,元,估计损失字段合计,报损折价
销售量,,kg,销售记录覆盖量，不等于全部库存出库,销售流水
销售收入,,元,销售收入合计,销售流水
加权平均售价,,元/kg,销售收入/销售量,销售流水
折价销售量,,kg,折价销售kg合计,销售流水
折价销售占比,,%,折价销售量/销售量,销售流水
退货量,,kg,退货kg合计,销售流水
退货率,,%,退货量/销售量,销售流水
客诉件数,,件,客诉件数合计,销售流水
冷链超温小时,,小时,逐环节超温小时合计,冷链温控
断链记录数,,条,是否断链=是,冷链温控
质检抽检果数,,个,抽检果数合计,质检抽检
不建议销售记录,,条,销售建议字段,质检抽检
渠道到货量,,kg,渠道表覆盖量,渠道动销
渠道加权偏软率,,%,按到货量加权,渠道动销
渠道加权折价率,,%,按到货量加权,渠道动销
平均售完天数,,天,渠道表简单平均,渠道动销
平均变动处理成本,,元/kg,三个月各变动成本项目之和的月均值,处理成本
平均每批固定成本,,元/批,三个月每批费用合计的月均值,处理成本
平均月培训成本,,元/月,三个月培训费用平均,处理成本
