更新序号,日期,资料编号,主题,对既有认识的补充,适用边界
1,1989-12-01,E01,采收成熟度与采后软化,采收成熟度会显著影响后续软化和成分变化，因此不同批次、不同品种之间不能只按贮藏天数直接外推。,研究对象、成熟度与处理条件不同；用于界定外推边界，不用于替代本项目原始测定值。
2,1992-01-01,E02,细胞壁果胶变化,乙烯处理后的猕猴桃果胶溶出和细胞壁结构变化与软化同步，为细胞壁重塑提供直接生化证据。,本项目没有测定果胶或细胞壁酶，因此只能作为外部机制支持，不能写成项目直接观测。
3,2011-04-21,E03,乙烯与成熟阶段,抑制乙烯生成可延长适食阶段，持续外源乙烯又能恢复进一步软化和挥发物形成，证明乙烯参与成熟后段。,转基因材料与本项目外源GA3处理不同；只能支持乙烯通路重要性，不能证明GA3直接作用于具体基因。
4,2012-01-10,E04,低温与乙烯非依赖软化,低温下可出现乙烯非依赖的软化和细胞壁相关变化，说明乙烯并非所有贮藏条件下的唯一控制轴。,品种和温度不同；本项目20℃结果不能直接代表冷藏场景。
5,2016-12-15,E05,淀粉降解与糖积累,乙烯促进、气调抑制淀粉下降和可溶性糖积累，并识别了与淀粉降解相关的候选基因。,候选基因与处理响应不能替代本项目的基因表达或酶活测定。
6,2017-01-01,E06,成熟阶段代谢谱,多平台代谢分析显示成熟阶段存在广泛糖、有机酸和细胞壁组分变化，单一指标不足以覆盖风味和货架期。,本项目仅有六项生理指标，不能据此宣称完成风味或代谢组层面的验证。
7,2018-08-23,E07,转录调控与淀粉降解,研究识别AdDof3对AdBAM3L的调控关系，支持淀粉降解由转录网络参与。,本项目没有转录组、qPCR或酶学数据，相关基因只能列为待验证靶点。
8,2019-07-09,E08,低温、糖积累与香气,5℃条件可促进软化和糖积累而不伴随可测乙烯及典型香气，进一步提示低温路径与乙烯路径可分离。,不能把20℃下乙烯受抑直接等同于冷链下货架期必然延长。
9,2020-07-02,E09,品种差异与细胞壁结构,快软化与慢软化基因型在细胞壁结构、底物可及性和酶活方面存在差异。,红阳结果不能无验证外推到海沃德、翠香或其他基因型。
10,2021-10-03,E10,采收成熟度与长期冷藏,采收成熟度影响长期冷藏后的品质表现，说明批次成熟度是中试设计的关键分层变量。,海沃德与红阳的品种差异、冷藏与常温条件差异需要单独验证。
11,2023-03-07,E11,代谢物、激素与酶活,研究覆盖糖、有机酸、激素和28种相关酶活，表明成熟机制验证需要多层指标互证。,本项目数据足以描述表型效应，不足以完成代谢和酶活层面的因果归因。
12,2023-04-01,E12,GA3处理与成熟抑制,GA3处理与硬度保持、淀粉和细胞壁降解减缓、乙烯与酯类生成抑制相关，并识别了处理响应基因。,这是对本项目方向最直接的外部支持，但不同品种、处理和检测体系仍限制定量外推。
13,2023-05-26,E13,GA采后应用综述,综述归纳GA在多类园艺产品采后品质保持中的研究结果和差异，支持把效果视为作物、剂量与环境依赖。,综述证据不等于针对中国红阳猕猴桃采后用途的有效性或合规批准。
14,2024-11-12,E14,激素互作与软化,IAA处理促进乙烯、淀粉降解和细胞壁降解相关变化，显示不同激素可能对同一成熟网络产生相反方向调控。,用于构建替代解释和后续激素谱设计，不用于解释GA3的直接作用。
15,2024-11-26,E15,多激素与淀粉调控模型,提出T6P-SnRK1-TOR-淀粉代谢和ABA-细胞分裂素-乙烯-细胞壁降解两个调控模型，强调成熟由多通路共同决定。,模型来自金艳等材料；本项目尚无相应代谢物、激素谱或转录证据。
16,2025-03-04,E16,GA-DELLA与成熟延缓,300 mg/L GA3处理的翠香猕猴桃表现出硬度保持、TSS和乙烯峰推迟，并发现多个AcDELLA成员与成熟指标相关。,相关关系和表达响应不等于本项目已证明DELLA介导；需在红阳材料上验证。
